,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,Match id
605,DNB,-,-,-,-,-,2,ODI v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
606,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
607,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
608,DNB,-,-,-,-,-,1,ODI v Australia,Rajkot,27 Sep 2023,ODI # 4657
609,DNB,-,-,-,-,-,1,ODI v Australia,Chennai,8 Oct 2023,ODI # 4662
610,DNB,-,-,-,-,-,1,ODI v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
611,DNB,-,-,-,-,-,1,ODI v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
612,0.3,0,2,0,4.00,4,1,ODI v Bangladesh,Pune,19 Oct 2023,ODI # 4674
613,DNB,-,-,-,-,-,1,ODI v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
614,DNB,-,-,-,-,-,2,ODI v England,Lucknow,29 Oct 2023,ODI # 4686
615,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
616,DNB,-,-,-,-,-,2,ODI v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
617,3.0,0,13,1,4.33,6,2,ODI v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
618,DNB,-,-,-,-,-,2,ODI v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
619,DNB,-,-,-,-,-,2,ODI v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
620,DNB,-,-,-,-,-,2,Test v South Africa,Centurion,26 Dec 2023,Test # 2520
621,DNB,-,-,-,-,-,1,Test v South Africa,Cape Town,3 Jan 2024,Test # 2522
622,DNB,-,-,-,-,-,3,Test v South Africa,Cape Town,3 Jan 2024,Test # 2522
623,DNB,-,-,-,-,-,1,T20I v Afghanistan,Indore,14 Jan 2024,T20I # 2431
624,DNB,-,-,-,-,-,2,T20I v Afghanistan,Bengaluru,17 Jan 2024,T20I # 2435
625,DNB,-,-,-,-,-,1,T20I v Ireland,New York,5 Jun 2024,T20I # 2639
626,DNB,-,-,-,-,-,2,T20I v Pakistan,New York,9 Jun 2024,T20I # 2658
627,DNB,-,-,-,-,-,1,T20I v U.S.A.,New York,12 Jun 2024,T20I # 2671
628,DNB,-,-,-,-,-,2,T20I v Afghanistan,Bridgetown,20 Jun 2024,T20I # 2710
629,DNB,-,-,-,-,-,2,T20I v Bangladesh,North Sound,22 Jun 2024,T20I # 2716
630,DNB,-,-,-,-,-,2,T20I v Australia,Gros Islet,24 Jun 2024,T20I # 2721
631,DNB,-,-,-,-,-,2,T20I v England,Providence,27 Jun 2024,T20I # 2724
632,DNB,-,-,-,-,-,2,T20I v South Africa,Bridgetown,29 Jun 2024,T20I # 2729
633,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Colombo (RPS),2 Aug 2024,ODI # 4752
634,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Colombo (RPS),4 Aug 2024,ODI # 4753
635,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Colombo (RPS),7 Aug 2024,ODI # 4754
636,DNB,-,-,-,-,-,2,Test v Bangladesh,Chennai,19 Sep 2024,Test # 2550
637,DNB,-,-,-,-,-,4,Test v Bangladesh,Chennai,19 Sep 2024,Test # 2550
638,DNB,-,-,-,-,-,1,Test v Bangladesh,Kanpur,27 Sep 2024,Test # 2552
639,DNB,-,-,-,-,-,3,Test v Bangladesh,Kanpur,27 Sep 2024,Test # 2552
640,DNB,-,-,-,-,-,2,Test v New Zealand,Bengaluru,16 Oct 2024,Test # 2555
641,DNB,-,-,-,-,-,4,Test v New Zealand,Bengaluru,16 Oct 2024,Test # 2555
642,DNB,-,-,-,-,-,1,Test v New Zealand,Pune,24 Oct 2024,Test # 2557
643,DNB,-,-,-,-,-,3,Test v New Zealand,Pune,24 Oct 2024,Test # 2557
644,DNB,-,-,-,-,-,1,Test v New Zealand,Wankhede,1 Nov 2024,Test # 2560
645,DNB,-,-,-,-,-,3,Test v New Zealand,Wankhede,1 Nov 2024,Test # 2560
646,DNB,-,-,-,-,-,2,Test v Australia,Perth,22 Nov 2024,Test # 2561
647,DNB,-,-,-,-,-,4,Test v Australia,Perth,22 Nov 2024,Test # 2561
648,DNB,-,-,-,-,-,2,Test v Australia,Adelaide,6 Dec 2024,Test # 2568
649,DNB,-,-,-,-,-,4,Test v Australia,Adelaide,6 Dec 2024,Test # 2568
650,DNB,-,-,-,-,-,1,Test v Australia,Brisbane,14 Dec 2024,Test # 2570
651,DNB,-,-,-,-,-,3,Test v Australia,Brisbane,14 Dec 2024,Test # 2570
652,DNB,-,-,-,-,-,1,Test v Australia,Melbourne,26 Dec 2024,Test # 2571
653,DNB,-,-,-,-,-,3,Test v Australia,Melbourne,26 Dec 2024,Test # 2571
654,DNB,-,-,-,-,-,2,Test v Australia,Sydney,3 Jan 2025,Test # 2575
655,DNB,-,-,-,-,-,4,Test v Australia,Sydney,3 Jan 2025,Test # 2575
